datafolder: izhikevich_data/ expfolder: exc4_inh1_nodiag_withinp_rand/p4/inpvar5_S5_t5000/seed4/ datafile: v_normed_alltimes.txt seed: 16 train_ratio: 0.6 val_ratio: 0.2 seq_len: 10 loss: mse prednstep: 1 attn_enc_self_loc: full attn_enc_self_glb: none attn_dec_self_loc: none attn_dec_self_glb: none attn_dec_cross_loc: full attn_dec_cross_glb: full usegiven:  useinp:  max_epoch: 200 useavg:  skipvarout:  skipvarin:  device: cuda:0 patience: 10 outdir: ../randsearch/exc4_inh1_nodiag_withinp_rand_corr/p4/inpvar5_S5_t5000/all_seq10_pred1/seed4 outname: sett12 d_model: 100 d_qkv: 8 n_heads: 10 ed_layers: 1 time_emb_dim: 1 dropout_emb: 0.1 dropout_ff: 0.1 batch_size: 16 base_lr: 0.0005 l2_coeff: 0.001 warmup_steps:  decay_factor: 0.5 
epoch    train    val    elapsed_sec
1    0.3933198145694203    0.2188659276044558    3.3600780963897705
2    0.2100051257108885    0.14116872551422271    3.3654868602752686
3    0.14898361998891074    0.0885369193754972    3.3784167766571045
4    0.14669435193377828    0.13529709605352272    3.4022626876831055
5    0.14585896433582382    0.11254312500121101    3.427180051803589
6    0.12619517459755852    0.09452921563079433    3.4475953578948975
7    0.14196265678084086    0.10087648406624794    3.4571292400360107
8    0.12574837989513837    0.07892445528081485    3.4535505771636963
9    0.1101532115467957    0.07993559761061556    3.441624879837036
10    0.11187787608258308    0.07087440711874811    3.4243390560150146
11    0.12695659702968976    0.07768158363326201    3.40155291557312
12    0.09720005869628891    0.07699100661372381    3.402661085128784
13    0.10948975650327546    0.0860102464045797    3.3856377601623535
14    0.11480100863864498    0.0702685590478636    3.3977110385894775
15    0.12222327723626107    0.1039292954263233    3.414353370666504
16    0.12175417771296841    0.07944248865048091    3.422584295272827
17    0.08537956318330198    0.07425815892952775    3.4212779998779297
18    0.09152321369638519    0.06416019877152783    3.3902463912963867
19    0.10108306023868777    0.12126370590357553    3.4334075450897217
20    0.1056531701710016    0.08914875230264097    3.4130852222442627
21    0.082430662882943    0.062105452080094624    3.4383203983306885
22    0.09830708074427787    0.09186904883337399    3.4295387268066406
23    0.08678173096407027    0.06100894099781438    3.415743350982666
24    0.09141280247815071    0.061799392104148865    3.4313738346099854
25    0.09601644281711844    0.0653008126786777    3.4106199741363525
26    0.06905913831932205    0.05725803105012765    3.371020793914795
27    0.09116292262952479    0.06385345097690348    3.367300271987915
28    0.08609900141637476    0.06558413859752435    3.3435006141662598
29    0.09066406693605203    0.06054117666586997    3.4041895866394043
30    0.09556849516691669    0.06852353636234526    3.4220292568206787
31    0.06808667745263804    0.07348134918581872    3.4371469020843506
32    0.08432091148718009    0.06287182628044061    3.463911771774292
33    0.06593920878829464    0.06439718568608874    3.5132486820220947
34    0.0869608838998136    0.055180644882576804    3.525667428970337
35    0.07500394161731477    0.061639862194184276    3.5323848724365234
36    0.08001850193573369    0.07204159115633321    3.5557503700256348
37    0.07662235623196004    0.07232207113078662    3.551854133605957
38    0.07223196091159942    0.05182983442431405    3.566007137298584
39    0.09217848161619807    0.06520147461976324    3.5538699626922607
40    0.06521477290089168    0.07365797582777246    3.553520441055298
41    0.08340503822361665    0.06247777808161955    3.5401062965393066
42    0.08476273629755254    0.0760521162005644    3.498356342315674
43    0.11265297701197957    0.0721119875827479    3.4654488563537598
44    0.07794171908781641    0.07069709614687969    3.4883008003234863
45    0.08200075781889378    0.06991080292278812    3.4909920692443848
46    0.06329954054857058    0.07510653011027783    3.4792449474334717
47    0.06818512428019728    0.07040011882781982    3.468384265899658
48    0.06393710021225232    0.06740657201716824    3.4751288890838623
early stopped at epoch 48 
best result at epoch 38 train 0.07223196091159942 val 0.05182983442431405 
